time,consent,gender,age,job,wb_1,wb_2,wb_3,wb_4,wb_5,wb_6,wb_7,wb_8,wb_9,wb_10,wb_11,wb_12,wb_13,wb_14,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,p_21,p_22,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,self_oriented,other_oriented,socially_prescribed,perfect_sum,wb
06/11/2022 20.06.57,Ja,Kvinde,22,Studerende,5,3,3,4,4,4,4,4,5,4,4,5,3,4,3,2,3,1,4,1,2,5,2,3,5,4,2,5,2,5,2,3,3,2,1,4,6,4,5,4,1,3,2,2,4,5,3,1,3,5,5,2,1,5,3,5,4,2,4,54,44,45,NA,56
06/11/2022 20.17.44,Ja,Kvinde,24,Studerende,4,3,4,4,3,2,3,4,4,3,3,5,4,4,3,2,3,2,5,1,1,5,3,3,4,5,3,5,4,3,4,3,4,3,2,2,4,4,2,1,1,3,2,2,3,3,2,3,1,5,1,1,2,5,3,4,3,3,1,57,33,39,NA,50
06/11/2022 21.00.32,Ja,Kvinde,22,Studerende,4,3,4,5,3,4,4,4,5,4,4,3,4,4,3,1,4,1,5,1,3,4,2,4,3,1,1,1,1,2,1,2,3,1,1,2,5,5,4,2,1,1,1,1,4,3,1,1,1,5,2,1,1,4,3,2,3,1,1,34,34,32,NA,55
06/11/2022 21.20.37,Ja,Kvinde,21,Studerende,4,4,2,3,3,3,3,2,3,3,5,4,2,3,7,4,4,2,7,1,3,7,4,3,7,7,7,6,4,5,7,7,1,7,1,1,6,1,5,3,1,7,1,4,7,5,7,5,1,7,4,1,7,7,5,7,1,4,4,90,35,77,NA,44
06/11/2022 22.00.34,Ja,Kvinde,21,Studerende,3,3,3,3,2,3,2,3,3,2,3,4,2,2,6,1,1,1,3,4,1,6,6,3,4,5,2,4,5,3,3,4,2,5,1,3,7,4,4,3,2,6,3,1,3,5,4,3,1,6,2,1,2,6,3,6,2,1,2,77,32,41,NA,38
06/11/2022 22.13.45,Ja,Kvinde,22,Studerende,3,3,3,3,2,3,2,2,3,2,3,4,1,3,6,1,1,1,6,4,2,5,2,3,6,5,4,5,6,2,5,3,2,3,3,3,6,2,6,3,5,5,5,3,5,5,5,4,6,6,2,2,3,5,5,5,1,2,1,75,34,61,NA,37
07/11/2022 00.40.19,Ja,Kvinde,22,Studerende,4,4,3,3,2,3,3,4,3,3,4,4,3,4,5,4,4,1,5,5,4,6,3,2,6,6,6,6,3,5,5,6,4,3,2,3,5,5,2,2,5,6,5,2,5,6,3,2,5,7,6,4,6,6,4,6,3,2,3,77,54,63,NA,47
07/11/2022 08.48.40,Ja,Nonbinær,20,Studerende,4,4,3,5,3,3,3,4,4,4,4,4,4,3,3,1,2,1,1,1,1,2,1,1,1,2,1,1,5,4,1,1,4,1,1,2,6,5,2,1,1,3,1,1,1,1,1,1,1,7,1,1,1,5,1,2,1,1,1,41,27,16,NA,52
07/11/2022 12.43.20,Ja,Kvinde,24,Studerende,3,3,3,3,2,4,4,4,3,3,4,4,2,4,5,2,2,2,2,2,2,4,2,2,5,2,2,2,5,5,2,2,4,2,2,5,5,4,2,2,2,4,2,2,3,3,2,2,4,5,4,3,3,5,3,2,2,2,2,50,41,40,NA,46
07/11/2022 13.55.58,Ja,Mand,18,Studerende,2,2,3,3,3,4,4,3,1,4,5,2,4,2,2,3,2,3,5,1,4,2,3,3,6,4,2,3,1,6,2,6,2,4,1,3,2,5,3,2,2,3,3,2,4,5,5,3,6,1,5,1,3,4,6,5,3,4,2,42,44,61,NA,42
07/11/2022 13.58.24,Ja,Mand,18,Studerende,5,5,3,3,3,4,3,4,5,5,5,5,5,5,1,4,5,6,1,1,2,6,2,1,1,3,1,1,1,4,4,1,2,1,1,4,4,4,1,2,1,2,2,1,1,7,1,1,1,1,3,1,1,3,1,1,1,1,2,37,41,18,NA,60
07/11/2022 13.58.35,Ja,Mand,18,Studerende,3,4,3,4,3,3,4,4,3,2,4,3,3,4,3,4,6,2,5,5,5,5,3,5,6,5,5,5,4,6,4,3,5,4,3,4,7,3,5,5,2,2,2,2,4,4,4,3,3,3,3,2,1,2,4,5,5,4,7,61,63,55,NA,47
07/11/2022 14.00.46,Ja,Mand,18,Studerende,4,3,3,3,4,4,3,4,3,5,4,5,4,3,4,3,1,6,3,7,4,6,2,5,4,4,3,6,1,2,4,3,4,2,2,5,6,2,2,4,3,5,1,2,2,6,2,3,3,4,2,2,4,4,2,5,3,4,2,67,47,40,NA,52
07/11/2022 14.10.37,Ja,Mand,18,Studerende,4,4,2,4,2,4,2,4,4,2,4,5,4,4,5,6,3,3,5,2,2,6,3,6,5,3,5,2,2,5,5,2,3,2,1,5,5,3,2,2,2,5,5,3,2,2,2,3,2,6,3,6,2,5,2,2,6,3,6,55,63,42,NA,49
07/11/2022 16.36.15,Ja,Kvinde,23,Studerende,4,3,2,3,2,4,3,3,2,3,3,4,2,3,4,1,3,1,7,5,3,6,1,1,7,5,3,4,4,2,4,2,3,3,1,2,6,1,1,4,3,5,3,1,6,3,2,3,6,6,6,1,2,6,5,5,1,1,1,69,30,51,NA,41
07/11/2022 18.38.21,Ja,Kvinde,25,Studerende,4,5,3,4,4,5,5,4,5,4,5,5,5,4,5,1,3,3,2,1,4,5,2,2,7,2,1,4,2,5,1,1,2,1,1,1,5,2,1,4,1,1,1,1,3,1,2,2,2,5,6,4,1,4,2,6,2,1,1,45,36,33,NA,62
07/11/2022 21.33.25,Ja,Kvinde,24,Studerende,3,2,3,3,3,3,3,3,3,2,3,3,4,3,6,2,1,1,7,6,2,7,3,2,6,6,6,6,5,5,6,2,2,6,2,2,7,2,6,2,2,6,1,3,2,7,3,2,1,5,1,1,2,6,4,5,1,4,1,86,27,52,NA,41
08/11/2022 15.01.34,Ja,Mand,21,Studerende,2,4,3,3,3,4,4,4,3,4,5,2,2,4,4,1,4,1,1,3,2,4,1,3,5,5,5,6,7,4,6,2,2,4,3,2,7,2,1,5,6,5,5,3,2,6,5,6,1,5,1,4,2,6,2,6,2,3,2,80,45,37,NA,47
08/11/2022 19.23.45,Ja,Kvinde,24,Studerende,4,4,3,3,4,4,4,3,3,3,4,3,5,4,6,3,1,1,7,5,5,2,4,5,5,6,6,7,5,3,4,5,6,6,2,4,7,3,6,3,3,7,3,3,7,7,5,1,5,7,5,1,5,7,6,7,2,3,3,84,46,74,NA,51
